,,,Lease Receivables,,Loan Receivables
(Dollars in millions),,Major,,Growth,,Major,,Growth
"At September 30, 2013:",,Markets,,Markets,,Markets,,Markets
Credit   Rating:,,,   ,,,,,,,,,
,AAA   – AA-,,$,606,,$,71,,$,817,,$,129
,A+   – A-,,,"1,520",,,178,,,"2,049",,,324
,BBB+   – BBB-,,,"2,154",,,875,,,"2,904",,,"1,593"
,BB+   – BB,,,"1,421",,,306,,,"1,916",,,557
,BB-   – B+,,,533,,,412,,,719,,,750
,B   – B-,,,356,,,198,,,480,,,361
,CCC+   – D,,,115,,,64,,,155,,,116
Total,,$,"6,705",,$,"2,104",,$,"9,042",,$,"3,830"
