,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Foreign,,,
,,,,,,,,,,,,,,Currency,,,
,,,,,,,,Purchase,,,,,Translation,,,
(Dollarsinmillions),,Balance,,Goodwill,,Price,,,,,And Other,,Balance
Segment,,01/01/12,,Additions,,Adjustments,,Divestitures,,Adjustments,,12/31/12
Global   Business Services,,$,"4,313",,$,5,,$,(0),,$,(2),,$,42,,$,"4,357"
Global   Technology Services,,,"2,646",,,264,,,—,,,(0),,,6,,,"2,916"
Software   ,,,"18,121",,,"2,182",,,(30),,,(6),,,137,,,"20,405"
Systems   and Technology,,,"1,133",,,443,,,(0),,,(14),,,6,,,"1,568"
Total,,$,"26,213",,$,"2,894",,$,(30),,$,(22),,$,192,,$,"29,247"
,,,,,,,,,,,,,,,,,,
