,,,,,,,,,Yr. to Yr.,
,,,,,,,Percent/,
(Dollars in millions),,,,,,,,Margin,
For the three months ended September 30:,,2013,,2012,,Change,
Systems   and Technology:,,,,,,,,,,
,External   gross profit,,$,"1,092",,$,"1,451",,,(24.7),%   
,External   gross profit margin,,,33.6,%,,37.3,%,,(3.6),pts.
,Pre-tax   income,,$,(167),,$,124,,,nm,
,Pre-tax   margin ,,,(4.9),%,,3.0,%,,(7.9),pts.
,,,,,,,,,,,
nm - not meaningful,,,,,,,,,,
