Noncurrent   Assets and Liabilities,,,,,,
,,"At September 30,",,"At December 31,"
(Dollars in millions),,2013,,2012
Noncurrent   assets,,$,"70,312",,$,"69,780"
Long-term   debt,,,"28,478",,,"24,088"
Noncurrent   liabilities (excluding debt),,,"30,137",,,"32,516"
