,,,,,,,,,,,,
,,,,,,,,,,,Recorded
,,Total,,,,,Total,,Investment
(Dollars in millions),,Past Due,,,,,Financing,,> 90 Days
"At September 30, 2013:",, > 90 days*,,Current,,Receivables,,and Accruing
Major   markets,,$,9,,$,"6,696",,$,"6,705",,$,9
Growth   markets,,,16,,,"2,089",,,"2,104",,,11
Total   lease receivables,,$,25,,$,"8,785",,$,"8,809",,$,20
,,,,,,,,,,,,
Major   markets,,$,15,,$,"9,027",,$,"9,042",,$,14
Growth   markets,,,29,,,"3,801",,,"3,830",,,10
Total   loan receivables,,$,43,,$,"12,828",,$,"12,871",,$,24
,,,,,,,,,,,,
Total,,$,68,,$,"21,612",,$,"21,681",,$,44
,,,,,,,,,,,,
* Does not include accounts that are fully reserved.
,,,,,,,,,,,,
