,,,,,,,,,,,,,Yr. to Yr.,
,,,,,,,,,,,,,Percent,
,,,,,,,,,,Yr. to Yr.,,,Change ,
,,,"At September 30,",,"At September 30,",,,Percent,,,Adjusted For ,
(Dollars in billions),,2013,,2012,,,Change,,,Currency,
Backlog:,,,,,,,,,,,,,
,Total   backlog ,,$,141.1,,$,137.7,,,2.5,%,,5.6,%
,Outsourcing   backlog,,$,90.1,,$,89.3,,,0.9,%,,4.3,%
