,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Foreign,,,
,,,,,,,,,,,,,Currency,,,
,,,,,,,,Purchase,,,,Translation,,,
(Dollarsinmillions),,Balance,,Goodwill,,Price,,,,And Other,,Balance
Segment,,01/01/13,,Additions,,Adjustments,,Divestitures,Adjustments,,9/30/13
Global   Business Services,,$,"4,357",,$,—,,$,(0),,$,—,,$,(26),,$,"4,331"
Global   Technology Services,,,"2,916",,,"1,245",,,5,,,—,,,(41),,,"4,126"
Software   ,,,"20,405",,,577,,,(25),,,(2),,,(137),,,"20,818"
Systems   and Technology,,,"1,568",,,13,,,33,,,—,,,(7),,,"1,607"
Total,,$,"29,247",,$,"1,834",,$,13,,$,(2),,$,(211),,$,"30,882"
,,,,,,,,,,,,,,,,,,
